id,name,picture_url,neighbourhood_cleansed,latitude,longitude,room_type,price,number_of_reviews,review_scores_rating
15400,Bright Chelsea  Apartment. Chelsea!,https://a0.muscache.com/pictures/428392/462d262a_original.jpg,Kensington and Chelsea,51.4878,-0.16813,Entire home/apt,120,96,4.8
33332,Beautiful Ensuite Richmond-upon-Thames borough,https://a0.muscache.com/pictures/miso/Hosting-33332/original/c84d254b-8a96-4872-a2ff-23627105d01c.jpeg,Richmond upon Thames,51.4641,-0.32498,Private room,140,19,4.37
117203,A stylish Victorian home in West London,https://a0.muscache.com/pictures/d2e37be3-d606-469c-a601-7dd5a2ed03e4.jpg,Hammersmith and Fulham,51.50155001,-0.233002224,Entire home/apt,131,91,4.85
137581,I Bedroom flat Tower of London,https://a0.muscache.com/pictures/64633340/7fe69b8c_original.jpg,City of London,51.51099,-0.07862,Entire home/apt,145,248,4.9
36660,You are GUARANTEED to love this,https://a0.muscache.com/pictures/airflow/Hosting-36660/original/9838574e-84fd-4a46-b7a4-141e5dc69710.jpg,Haringey,51.58478,-0.16057,Private room,82,691,4.86
38950,Room 1 Large Double Bedroom - front ground floor,https://a0.muscache.com/pictures/ab0c51a0-adc9-40cd-8042-de9d202b1703.jpg,Haringey,51.58684,-0.08632,Private room,55,1,5
38995,SPACIOUS ROOM IN CONTEMPORARY STYLE FLAT,https://a0.muscache.com/pictures/1937395/94845f6e_original.jpg,Southwark,51.4786,-0.06114,Private room,55,55,4.96
159736,A double Room 5mins from King's College Hospital,https://a0.muscache.com/pictures/1067303/d230056d_original.jpg,Lambeth,51.46788,-0.09993,Private room,55,99,4.73
165336,Charming Flat in Notting Hill,https://a0.muscache.com/pictures/60757460/47f8e609_original.jpg,Kensington and Chelsea,51.51735,-0.21076,Entire home/apt,94,247,4.74
42010,You Will Save Money Here,https://a0.muscache.com/pictures/airflow/Hosting-42010/original/aea0a1f2-220d-4321-ae61-1ef8b04822e0.jpg,Barnet,51.5859,-0.16434,Private room,65,591,4.89
43129,Quiet Comfortable Room in Fulham,https://a0.muscache.com/pictures/d90415e3-9d9f-465c-adbb-ee440e61eb71.jpg,Hammersmith and Fulham,51.48164,-0.21082,Private room,60,245,4.72
43202,Beautiful 1 bed apt in Queens Park,https://a0.muscache.com/pictures/miso/Hosting-43202/original/bafc7a6b-1518-44b3-955d-ea7278240d8c.jpeg,Brent,51.53031,-0.21713,Entire home/apt,130,134,4.87
168348,charming cozy flat in notting hill,https://a0.muscache.com/pictures/monet/Select-168348/original/f54bb2f6-4830-44c8-b631-c10050771e9a,Kensington and Chelsea,51.51755,-0.20159,Entire home/apt,180,166,4.89
174132,Large Bedroom with EnSuite Bathroom,https://a0.muscache.com/pictures/miso/Hosting-174132/original/44eb7d36-c606-4d4c-8867-60c7cf9f8117.jpeg,Westminster,51.52636,-0.18801,Private room,68,298,4.66
174635,1 bedroom in Vibrant Notting Hill,https://a0.muscache.com/pictures/1199633/51edd636_original.jpg,Kensington and Chelsea,51.51814,-0.21423,Entire home/apt,250,47,4.24
47687,Cosy Double studio in Zone 2 Hammersmith (6),https://a0.muscache.com/pictures/miso/Hosting-47687/original/adfecde5-c731-47ed-995a-198f497d369a.jpeg,Hammersmith and Fulham,51.4934,-0.22929,Entire home/apt,87,170,4.69
49970,Beautiful Small Studio Hammersmith,https://a0.muscache.com/pictures/9199724/23d50e86_original.jpg,Hammersmith and Fulham,51.49462,-0.22923,Hotel room,85,201,4.71
52624,Close to Wimbledon All England Tennis -huge double,https://a0.muscache.com/pictures/hosting/Hosting-52624/original/85946112-ba37-4ba5-acac-e3baf21fff05.jpeg,Merton,51.41927,-0.21223,Private room,85,2,5
56229,Cosy Double studio in Zone 2 Hammersmith (1),https://a0.muscache.com/pictures/3860587/79e73821_original.jpg,Hammersmith and Fulham,51.49547,-0.22942,Entire home/apt,89,136,4.71
63948,Cosy Double studio in Zone 2 Hammersmith (4),https://a0.muscache.com/pictures/miso/Hosting-63948/original/c930ded2-519e-46a5-83f3-22463af82ac2.jpeg,Hammersmith and Fulham,51.49547,-0.22864,Entire home/apt,89,160,4.6
66772,Cosy Double studio in Zone 2 Hammersmith (3),https://a0.muscache.com/pictures/c71a4e64-97f8-498d-a87a-0dc3ddda490f.jpg,Hammersmith and Fulham,51.4937,-0.22914,Private room,82,171,4.64
67851,Sunny studio with park views,https://a0.muscache.com/pictures/miso/Hosting-67851/original/7267913c-52f1-4c8b-a0c9-e8094c7b818c.jpeg,Hackney,51.54092,-0.05905,Entire home/apt,130,48,4.9
182802,Quiet Double Room - Good for walks,https://a0.muscache.com/pictures/56260527/fea33fb2_original.jpg,Richmond upon Thames,51.43855,-0.32191,Private room,68,264,4.84
190028,MODERN Self-Contained ARCHITECT FLAT,https://a0.muscache.com/pictures/961fbca0-5424-4afa-93df-4aeeb41d5b22.jpg,Islington,51.55119,-0.08582,Entire home/apt,90,33,4.82
198279,London Whitechapel Room with WIFI,https://a0.muscache.com/pictures/60365344/23fdcb81_original.jpg,Tower Hamlets,51.51462,-0.05969,Private room,45,270,4.77
73125,Bright + Spacious In Balham + Air-conditioned,https://a0.muscache.com/pictures/airflow/Hosting-73125/original/26239faa-d845-4789-af40-96cc375de0a1.jpg,Lambeth,51.44563,-0.14195,Private room,70,51,4.94
74107,Well-priced 1 bed for short-term let,https://a0.muscache.com/pictures/b4cc9df2-f437-4b6a-93f5-0d7828948541.jpg,Brent,51.5397,-0.20817,Entire home/apt,91,141,4.57
79129,Double Room 2 Miles from Wimbledon in Morden SM4,https://a0.muscache.com/pictures/28979576/08571cc6_original.jpg,Merton,51.39648,-0.2117,Private room,51,169,4.9
80123,Pretty Self Contained Coach House,https://a0.muscache.com/pictures/543661/87e0bca1_original.jpg,Wandsworth,51.45173,-0.15556,Entire home/apt,110,163,4.92
207542,Private ensuite room in Harringay,https://a0.muscache.com/pictures/10008373/3608ee5c_original.jpg,Haringey,51.5851,-0.10277,Private room,65,72,4.87
214321,Room 20 min from central London,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjE0MzIx/original/62558785-d0a1-4632-9d9b-55acdb419b47.jpeg,Lewisham,51.45359,0.00925,Private room,37,12,4.83
227502,Shoreditch Loft,https://a0.muscache.com/pictures/miso/Hosting-227502/original/5531c56c-f383-49e7-b820-84064d208928.jpeg,Hackney,51.52853,-0.07728,Entire home/apt,155,136,4.42
228389,one Double bed room with en-suite facilities,https://a0.muscache.com/pictures/2295220/261b973c_original.jpg,Croydon,51.36646,-0.12118,Private room,50,21,5
232983,Cozy double room,https://a0.muscache.com/pictures/miso/Hosting-232983/original/4acbc87e-8e6d-4c41-b63a-a6ea512fc2ac.jpeg,Southwark,51.48668,-0.10513,Private room,99,304,4.84
84223,Designer room Park Views 4 mins zone 1 station,https://a0.muscache.com/pictures/50fe6b01-4910-420d-bda9-0d1118dda938.jpg,Southwark,51.48579,-0.1077,Private room,53,429,4.78
84532,"Cosy Double room London, River View",https://a0.muscache.com/pictures/20720a1f-b644-4363-894a-e565ff8ed3bf.jpg,Hackney,51.57665634,-0.061099,Private room,47,148,4.95
238711,Modern Notting Hill Apartment/flat,https://a0.muscache.com/pictures/2ddb7125-f424-41d1-98b2-5c2ccff26192.jpg,Kensington and Chelsea,51.51156,-0.19579,Entire home/apt,150,189,4.86
241975,Private room in London & cultural Islington,https://a0.muscache.com/pictures/e728407d-325c-4190-985e-63302876a40a.jpg,Islington,51.56094,-0.10893,Private room,40,13,4.77
242132,"One bedroom flat, Islington.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjQyMTMy/original/ea03e482-dded-4d22-bb69-a26e62a503be.jpeg,Islington,51.55257,-0.11674,Entire home/apt,110,14,4.5
92352,Flat in Islington,https://a0.muscache.com/pictures/9f12e168-cb11-43f0-b48e-bf368c8d6235.jpg,Islington,51.54113,-0.09881,Entire home/apt,110,69,4.86
92399,modern self contained flat islington,https://a0.muscache.com/pictures/hosting/Hosting-92399/original/40294026-252f-43f4-a2ff-ab4c01b2f20b.jpeg,Islington,51.55104,-0.08324,Entire home/apt,90,299,4.83
243093,Stunning double room own bathroom,https://a0.muscache.com/pictures/66d20a40-dd60-4563-bae0-053744d885c2.jpg,Enfield,51.6371,-0.1186,Private room,164,11,4.82
96052,clean double room in Zone 2 for 1-2 guests,https://a0.muscache.com/pictures/airflow/Hosting-96052/original/3fe1e247-2208-4e40-ac40-6e459280c371.jpg,Brent,51.5593,-0.22497,Private room,50,83,4.83
264777,One Bedroom Apartment,https://a0.muscache.com/pictures/50727123/b2a002a9_original.jpg,Lewisham,51.44284,-0.01997,Entire home/apt,88,22,4.64
97506,Lovely Victorian Room Streatham,https://a0.muscache.com/pictures/hosting/Hosting-97506/original/a3596698-f579-4e51-b255-35a9ee5faa8f.jpeg,Lambeth,51.42996,-0.12161,Private room,46,45,4.86
98541,Gorgeous Victorian Flat LONDON,https://a0.muscache.com/pictures/a6e19a8b-6650-44da-82b2-b3c4c8c688ad.jpg,Haringey,51.57271,-0.13948,Entire home/apt,99,36,4.55
102565,South Bank Bijou Studio Flat,https://a0.muscache.com/pictures/3977524/64fc3ca1_original.jpg,Lambeth,51.50551,-0.10952,Private room,120,390,4.91
268398,Also five minutes to South Bank,https://a0.muscache.com/pictures/e5744551-94d3-4945-aeeb-fd2ca6dfbaf8.jpg,Lambeth,51.50287,-0.10937,Private room,71,560,4.63
305573,"Central London Hideaway in the trees, SE1",https://a0.muscache.com/pictures/3344895/1a29dc69_original.jpg,Southwark,51.49608,-0.09713,Entire home/apt,75,16,4.38
307923,"Double room no 1 near Brunel, Uxbridge, Heathrow",https://a0.muscache.com/pictures/3255990/21ffd35d_original.jpg,Hillingdon,51.52344,-0.46178,Private room,45,127,4.83
282198,Georgian Apartment in Bloomsbury,https://a0.muscache.com/pictures/miso/Hosting-282198/original/467ec082-e236-420f-803d-a8b10fd87db7.png,Camden,51.52361,-0.11591,Private room,125,76,4.93
284423,Stylish apartment in trendy Dalston,https://a0.muscache.com/pictures/miso/Hosting-284423/original/43c52057-c302-4b97-bf33-dcc646410eec.jpeg,Hackney,51.54696,-0.07016,Entire home/apt,141,28,4.93
284532,COSY STUDIO-FLAT WITH A GREAT  VIEW,https://a0.muscache.com/pictures/2932872/000376ab_original.jpg,Tower Hamlets,51.52851,-0.07426,Entire home/apt,90,41,4.31
310949,A Modern Double Room in Greenwich.,https://a0.muscache.com/pictures/a0830065-62db-41ba-889a-6228bcab0f52.jpg,Greenwich,51.49927,0.10729,Private room,38,352,4.95
311430,peaceful double room 5mins from King's Hospital,https://a0.muscache.com/pictures/hosting/Hosting-311430/original/4179daf4-f573-4d6e-95f3-46e10498ce8f.jpeg,Lambeth,51.46934,-0.10136,Private room,55,38,4.92
294177,Compact living cosy studio flat in London,https://a0.muscache.com/pictures/3d244bcc-a2f8-4f39-8840-39fb25724314.jpg,Barnet,51.59375,-0.25767,Entire home/apt,65,125,4.29
383382,Serene Room in Classic London Town House - Zone 2,https://a0.muscache.com/pictures/3522f5b5-1de4-494b-9ba4-ebf30c0cebda.jpg,Lambeth,51.45045,-0.12258,Private room,90,83,4.78
383416,Victorian Room in Classic London Townhouse -Zone 2,https://a0.muscache.com/pictures/6a2d7b5b-6f92-4a9a-886e-b4acad54c3cb.jpg,Lambeth,51.44739,-0.12319,Private room,86,17,4.59
312761,Spacious Central London Apartment by Hoxton Square,https://a0.muscache.com/pictures/miso/Hosting-312761/original/75828df2-cc32-405c-bea5-6a760713e9b2.jpeg,Hackney,51.52704,-0.08129,Entire home/apt,187,138,4.96
384770,One Bedroom Flat Shepherds Bush,https://a0.muscache.com/pictures/4410164/f9aa0ba1_original.jpg,Hammersmith and Fulham,51.50372,-0.22123,Entire home/apt,123,110,4.67
387835,Large Dble Bdrm TV/Wifi nr NPL & St Mary's Uni,https://a0.muscache.com/pictures/miso/Hosting-387835/original/6e825f15-00ba-44a2-84cd-5a39b556ba78.jpeg,Richmond upon Thames,51.42863,-0.34688,Private room,54,233,4.95
387935,Beautiful Victorian property on historic street,https://a0.muscache.com/pictures/miso/Hosting-387935/original/dd02707a-0873-496b-b85a-538630266770.jpeg,Hackney,51.56038,-0.06448,Private room,59,94,4.96
388315,Notting Hill Garden Studio Flat for Cat Lovers,https://a0.muscache.com/pictures/5659013/d01b51ca_original.jpg,Kensington and Chelsea,51.5178,-0.2009,Entire home/apt,88,165,4.76
320629,Hotel-style room in Camden Town,https://a0.muscache.com/pictures/miso/Hosting-320629/original/4de21910-5141-491f-953a-5332e4ed772e.jpeg,Camden,51.5385,-0.14719,Private room,95,296,4.77
388644,Sunny dbl+parking nr Brixton market,https://a0.muscache.com/pictures/5124018/5d25010b_original.jpg,Lambeth,51.45958,-0.10774,Private room,51,6,4.67
389125,Stylish Ensuite Room in house. - Maida Vale.,https://a0.muscache.com/pictures/77fded5a-62b2-47d6-9e9b-a9a5c94d44c4.jpg,Brent,51.53707,-0.19483,Private room,89,127,4.86
322606,Double Room in a Family House in Clapham/Battersea,https://a0.muscache.com/pictures/3519775/5a8fcde4_original.jpg,Wandsworth,51.47043,-0.17155,Private room,70,206,4.31
323473,Lovely flat in the heart of Islington,https://a0.muscache.com/pictures/3708990/f033df28_original.jpg,Islington,51.53861,-0.09678,Entire home/apt,190,69,4.82
389544,Double room near tube,https://a0.muscache.com/pictures/airflow/Hosting-389544/original/4619e7da-ac1f-4e26-856e-f0c404be15f0.jpg,Merton,51.40091,-0.20205,Private room,51,54,4.98
389786,Cozy room in lovely area!(Chiswick),https://a0.muscache.com/pictures/miso/Hosting-389786/original/1f592ac3-da6e-4007-a31e-8fe07fc265f0.jpeg,Ealing,51.49729156,-0.264252007,Private room,74,29,4.96
389967,Lovely Twin Room near to Common,https://a0.muscache.com/pictures/42891662/e14c0811_original.jpg,Merton,51.41893,-0.23555,Private room,85,56,4.85
326633,"Stylish, Light Central London Flat",https://a0.muscache.com/pictures/744d489f-f4a8-486c-b700-cd47c78d0649.jpg,Wandsworth,51.47565,-0.15159,Private room,70,241,4.85
329585,Beautiful Stylish Clapham Apartment,https://a0.muscache.com/pictures/c54c3f81-c9c8-4839-936a-052e2f7e43e3.jpg,Lambeth,51.46850586,-0.129695997,Entire home/apt,188,162,4.98
390356,"Twin-bedded sitting-room, 2 beds, 1 or 2 guests",https://a0.muscache.com/pictures/5230899/c7931707_original.jpg,Wandsworth,51.47483,-0.16392,Private room,68,399,4.85
391392,Private Bed & Bathroom Peaceful & Central,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzkxMzky/original/5ef48222-e5c7-4285-af8d-9d8b39f0a765.jpeg,Camden,51.53376,-0.14128,Private room,75,255,4.71
330932,Light spacious apartment,https://a0.muscache.com/pictures/hosting/Hosting-330932/original/7e6aba6c-8715-4f4a-a205-0e8e2febb897.jpeg,Islington,51.55301,-0.12364,Entire home/apt,120,241,4.83
334310,"Superior Boutique Comfort, Amazing Fast Transport",https://a0.muscache.com/pictures/6b291048-6e73-4147-ac0d-532cbad1688f.jpg,Lewisham,51.45625,-0.01633,Private room,43,190,4.84
391529,"Attractive, comfy double in Eltham",https://a0.muscache.com/pictures/4462333b-faee-4645-a120-f6c9c099fbc7.jpg,Greenwich,51.46679,0.05159,Private room,38,7,4.43
391672,Double room in South London,https://a0.muscache.com/pictures/9aca23b4-bdf6-40c1-a95c-9a87f64e592a.jpg,Lewisham,51.43079,-0.06619,Private room,45,81,4.88
391808,Pimlico Pad,https://a0.muscache.com/pictures/6682281/198ce93d_original.jpg,Westminster,51.49248,-0.13848,Private room,70,143,4.82
392141,Beautiful Blue Room,https://a0.muscache.com/pictures/4534065/5681a507_original.jpg,Wandsworth,51.44355,-0.19915,Private room,65,28,4.88
392246,Private bathroom Free parking West Thamesmead,https://a0.muscache.com/pictures/17010cbe-7fc6-4fab-af98-cc739650c8b9.jpg,Greenwich,51.49921,0.08801,Private room,65,22,4.95
334603,Stay in an apartment near Wembley Stadium,https://a0.muscache.com/pictures/f055847c-9162-4afb-83c6-78a955fb73c5.jpg,Brent,51.54363,-0.25556,Private room,93,12,4.92
340435,Shepherds Bush W12 Double/Twin Room,https://a0.muscache.com/pictures/miso/Hosting-340435/original/4ffc081d-20c0-4a99-a796-1dac5b521487.jpeg,Hammersmith and Fulham,51.50743,-0.22568,Private room,59,337,4.89
397507,Super small double in stunning home,https://a0.muscache.com/pictures/4467250/efeb66c8_original.jpg,Wandsworth,51.4602,-0.18631,Private room,40,74,4.78
341779,NICE DOUBLE ROOM IN A CLEAN  AND QUIET HOUSE,https://a0.muscache.com/pictures/21489113/95e73c67_original.jpg,Croydon,51.40392,-0.09948,Private room,28,61,4.54
344094,"Homely Twin Room Streatham,London",https://a0.muscache.com/pictures/5092132/a777509f_original.jpg,Lambeth,51.41847,-0.12583,Private room,43,211,4.72
347389,Canary Wharf/Excel riverside luxury,https://a0.muscache.com/pictures/3837267/df6d42e2_original.jpg,Newham,51.49962,0.03246,Private room,135,21,5
349339,Beautiful double room in Victorian house,https://a0.muscache.com/pictures/3373bf8a-d8c1-47d6-8ae9-7135c639e1b5.jpg,Barnet,51.61707,-0.14813,Private room,70,7,5
350588,"Music Room by Canal, Double Own Bathroom + Garden",https://a0.muscache.com/pictures/miso/Hosting-350588/original/f68220f2-6fd6-4311-a3b1-f69672e6154a.jpeg,Islington,51.53555,-0.11739,Private room,58,236,4.9
409043,"Lovely room in Clapton, Hackney E5",https://a0.muscache.com/pictures/airflow/Hosting-409043/original/c9b6e664-1479-4f9d-8726-dd81ed936a52.jpg,Hackney,51.55657,-0.05697,Private room,53,66,4.77
410971,Beautiful Penthouse in Clapham,https://a0.muscache.com/pictures/414920f8-1138-41b6-8d1b-ecde6175aa08.jpg,Lambeth,51.46024,-0.13538,Entire home/apt,114,68,4.84
415825,Entire quiet spacious home,https://a0.muscache.com/pictures/miso/Hosting-415825/original/b00d53d5-e9a9-4c71-88ce-d5538f4e2dcf.jpeg,Islington,51.55305,-0.12231,Entire home/apt,99,269,4.83
416047,Large Double Room for Short/Long Stay selfcatering,https://a0.muscache.com/pictures/0a068443-51cc-4757-a41b-b377d2973156.jpg,Lewisham,51.44276,-0.0451,Private room,32,19,4.89
351727,"Bright airy double room, central",https://a0.muscache.com/pictures/3980397/bd7362af_original.jpg,Lambeth,51.45371,-0.11009,Private room,32,257,4.64
420083,Lovely loft room with stylish en-suite.,https://a0.muscache.com/pictures/airflow/Hosting-420083/original/3ad5b9ec-3a7e-4212-82f2-adec3548fb92.jpg,Lewisham,51.42298921,-0.013000812,Private room,66,37,5
362026,Double room in lovely period house - friendly host,https://a0.muscache.com/pictures/9492858/6a104326_original.jpg,Haringey,51.60501,-0.11022,Private room,45,91,4.97
365069,Cheerful Flat safe haven in Great Location,https://a0.muscache.com/pictures/5405904/6e7d50a8_original.jpg,Camden,51.54880524,-0.183766007,Entire home/apt,92,70,4.54
422748,"Lovely, Comfi and Cozy room for two",https://a0.muscache.com/pictures/58299907/66a8dfd8_original.jpg,Croydon,51.38533,-0.12706,Private room,21,65,4.48
426354,1 bedroom flat with big balcony!,https://a0.muscache.com/pictures/11be3dd1-9909-41fb-8168-c1b023cf31b6.jpg,Kensington and Chelsea,51.52538,-0.21057,Entire home/apt,170,12,4.91
371302,"Flat voted best area to live, London, Crouch End",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzcxMzAy/original/fb8b2555-b80e-4c09-91b6-c669b1fd1e0a.jpeg,Haringey,51.57522,-0.11301,Entire home/apt,108,1,5
432841,Large double bedroom in Shoreditch w/garden,https://a0.muscache.com/pictures/a6d4f3b6-685b-4fcc-8293-32ca82f1afff.jpg,Hackney,51.53328,-0.07258,Private room,109,38,4.89
433867,Bedroom In Great Location Stratford,https://a0.muscache.com/pictures/9011023/28cb22a3_original.jpg,Newham,51.54710388,0.007458,Private room,52,14,4
375657,Lovely Self Contained Garden Studio (own entrance),https://a0.muscache.com/pictures/4678854/5d1c70ab_original.jpg,Hammersmith and Fulham,51.50115,-0.24902,Private room,100,91,4.96
377707,Vintage Oasis and Double Room and Peace,https://a0.muscache.com/pictures/hosting/Hosting-377707/original/a97e8680-1469-4da1-b4e9-afa6405f5005.jpeg,Waltham Forest,51.59859,-0.00736,Private room,50,157,4.88
379053,"Large sunny room, private bathroom, Dalston",https://a0.muscache.com/pictures/5819645/d6d411ad_original.jpg,Hackney,51.55301,-0.07762,Private room,56,216,4.84
436257,Sunny double room/balcony/shower/wc,https://a0.muscache.com/pictures/5181478/a7f694e0_original.jpg,Lewisham,51.44828,-0.0373,Private room,55,225,4.96
436446,"London, Ealing, W13 Artists Home",https://a0.muscache.com/pictures/hosting/Hosting-436446/original/71ea79ea-d0b8-4ca3-a4ca-a2d94775bd01.jpeg,Ealing,51.50596,-0.32542,Private room,80,89,4.99
436458,Attic Room in historic Greenwich,https://a0.muscache.com/pictures/20045164/7a62eb0c_original.jpg,Greenwich,51.47412,-0.01103,Private room,48,297,4.78
438421,202 double room shower Soho comfy,https://a0.muscache.com/pictures/f55b43b1-1b2b-477e-bf6b-21f330084a07.jpg,Westminster,51.5106,-0.13074,Private room,85,466,4.54
441459,"Architect's pub conversion, London",https://a0.muscache.com/pictures/cbd6b96f-b76a-4d5a-9e27-663adad7e59b.jpg,Tower Hamlets,51.51795,-0.0212,Private room,95,75,4.76
380714,"King sized double room, part of house sleeping 8",https://a0.muscache.com/pictures/858b0fdf-dd97-47d1-a778-061f5bce0636.jpg,Islington,51.54036,-0.08834,Private room,94,16,4.69
381005,Comfortable place to base yourself,https://a0.muscache.com/pictures/5791963/6a96012f_original.jpg,Brent,51.54966,-0.22342,Private room,40,103,4.9
442178,Ensuite room in artist lofty studio,https://a0.muscache.com/pictures/21692824/35a455f1_original.jpg,Islington,51.52522,-0.08514,Private room,133,110,4.96
443735,Twin Room in lovely Victorian House in N11,https://a0.muscache.com/pictures/miso/Hosting-443735/original/7fadb7dd-8e90-4d03-bebc-7b27ea59f85f.jpeg,Barnet,51.61674,-0.14907,Private room,70,7,4.71
445346,"Elegant double (sofabed) room, Hackney, E9",https://a0.muscache.com/pictures/110ba438-ca3f-41a4-af36-eec218a57d6d.jpg,Hackney,51.53783,-0.05349,Private room,78,63,4.92
494343,Stylish Central London Apartment,https://a0.muscache.com/pictures/10240302/7473e75f_original.jpg,Lambeth,51.48652,-0.11113,Entire home/apt,164,284,4.75
447891,Peaceful loft in the trendy East End,https://a0.muscache.com/pictures/62d7803c-e37a-42d2-b9d5-099dfdbcda43.jpg,Tower Hamlets,51.52998,-0.05135,Private room,65,241,4.89
450460,Great apartment in Hackney.,https://a0.muscache.com/pictures/5954710/be5c69ec_original.jpg,Hackney,51.56485,-0.09831,Entire home/apt,76,64,4.85
452350,A Charming Garden flat with two living areas,https://a0.muscache.com/pictures/26976000/39c80d61_original.jpg,Hackney,51.56911,-0.09723,Entire home/apt,175,38,4.76
497373,Central flat  Bankside  London Bridge Tate Modern,https://a0.muscache.com/pictures/5951761/10c74cf6_original.jpg,Southwark,51.50181,-0.10009,Entire home/apt,153,59,4.58
504810,"Stylish Central London Apartment, Vauxhall Getaway",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTA0ODEw/original/f5da95a0-8fe7-4571-896f-44b4dcd5e8e3.jpeg,Lambeth,51.48914348,-0.1181166,Private room,43,20,4.55
455277,Luxury double room in Rotherhithe,https://a0.muscache.com/pictures/47403990/d689fe38_original.jpg,Southwark,51.50374,-0.03921,Private room,499,1,5
458015,"London, Atmospheric Bloomsbury Flat",https://a0.muscache.com/pictures/8019795/acb7de98_original.jpg,Camden,51.52745,-0.12289,Entire home/apt,175,68,4.9
507480,Twin Room in Shoreditch,https://a0.muscache.com/pictures/12700228/55ff1b25_original.jpg,Tower Hamlets,51.52703,-0.07357,Private room,48,138,4.56
507677,Modern & bright flat near Portobello market,https://a0.muscache.com/pictures/53647744/21fd4ffe_original.jpg,Kensington and Chelsea,51.52221,-0.21734,Entire home/apt,143,164,4.8
460934,Great Quirky Twin room in Wimbledon,https://a0.muscache.com/pictures/11906170/ce393bad_original.jpg,Merton,51.42576,-0.20537,Private room,55,27,4.69
460938,Fun Summer Garden Room - Wimbledon,https://a0.muscache.com/pictures/6438260/c6a1ec18_original.jpg,Merton,51.42494,-0.20591,Private room,52,16,4.94
461039,"** OFFER! Modern and quiet, near Highgate Woods **",https://a0.muscache.com/pictures/5626945/c57268d0_original.jpg,Haringey,51.58523,-0.14065,Entire home/apt,137,16,4.94
511068,London Smart Double room Near metro (central line),https://a0.muscache.com/pictures/7472056/75c9ad1a_original.jpg,Waltham Forest,51.55921,-0.00891,Private room,118,6,4.67
469198,Apartment in Shoreditch - Zone 1,https://a0.muscache.com/pictures/5932005/444e3c01_original.jpg,Tower Hamlets,51.52735688,-0.076463447,Entire home/apt,250,9,4.89
469219,East London flat on the Canal,https://a0.muscache.com/pictures/bb2f0dd6-aa64-49ac-b98c-d5d5c8617b03.jpg,Hackney,51.53555,-0.07516,Private room,55,12,4.67
469630,Be Londoner and feel like one,https://a0.muscache.com/pictures/a3762904-acf1-47ca-b3e6-51e2af6ec631.jpg,Newham,51.55379,0.03085,Shared room,23,48,4.54
469676,Double Room in Penthouse Flat,https://a0.muscache.com/pictures/f8b00827-e401-47c3-914a-4db2c029131f.jpg,Lambeth,51.46979,-0.14133,Entire home/apt,150,125,4.54
472185,Double Room in lovely family home,https://a0.muscache.com/pictures/airflow/Hosting-472185/original/67cae009-1380-4d62-a582-99528a431594.jpg,Waltham Forest,51.55306,0.00929,Private room,47,111,4.97
518741,"Boutique double room with desk. Homerton, Hackney.",https://a0.muscache.com/pictures/hosting/Hosting-518741/original/0c30010c-4ca6-45d3-97ca-257c94f961df.jpeg,Hackney,51.55245,-0.04246,Private room,60,18,4.94
519660,'Vie de Boheme' in Central London,https://a0.muscache.com/pictures/17992837/36a2466e_original.jpg,Camden,51.5225925,-0.138882589,Entire home/apt,135,52,4.9
475087,"Clean, comfortable and cosy room",https://a0.muscache.com/pictures/5822275/84d03d10_original.jpg,Croydon,51.40401257,-0.093883131,Private room,34,12,4.58
478975,Trendy and very central 1 bedroom,https://a0.muscache.com/pictures/miso/Hosting-478975/original/aa529b74-d7e1-4374-9ce2-067bba1a4a94.jpeg,Westminster,51.51484,-0.11229,Entire home/apt,203,258,4.74
480580,Lovely double room with ensuite bath near Brixton,https://a0.muscache.com/pictures/9318037/807dec15_original.jpg,Lambeth,51.46781,-0.09836,Private room,2000,12,5
481999,Comfortable room to stay in London.,https://a0.muscache.com/pictures/5823020/e6b80848_original.jpg,Croydon,51.40368,-0.09263,Private room,36,33,4.94
520817,Lovely bright room in Queen's Park,https://a0.muscache.com/pictures/b632d686-bbe2-45b9-8af5-d88bc7f59e88.jpg,Brent,51.53438,-0.20424,Private room,86,7,4.71
520959,Still the green side of Camden - Primrose Hill,https://a0.muscache.com/pictures/6673974/a85c6526_original.jpg,Camden,51.54207,-0.15894,Private room,100,50,4.96
521274,Double room in lovely north London flat,https://a0.muscache.com/pictures/2508262c-2067-49b3-9d65-fd4bef5bc33b.jpg,Brent,51.54941,-0.23262,Private room,45,75,4.8
521547,"Nice Room in Verdent Lane, Catford",https://a0.muscache.com/pictures/41dcd1ef-115a-4fe3-b3a9-0ac4f6f2a7d5.jpg,Lewisham,51.43868,0.00669,Private room,40,187,4.76
489405,Fantastic room in Shoreditch/Hoxton,https://a0.muscache.com/pictures/9a380f0b-1239-4ea1-9776-1728b56a6a91.jpg,Hackney,51.53127,-0.07367,Private room,68,388,4.89
